did,mid,name,year,gender,country
2024,76009,Sachiko M,1970,2,Japan
165868,209024,Bill Sharpe,1952,1,United Kingdom
264175,684432,Jamie Talbot,1960,1,United Kingdom
264178,320944,Nigel Hitchcock,1971,1,United Kingdom
6424564,1648420,The Nels Cline 4,,,United States
296954,5406,Roger Kellaway,1939,1,United States
296955,5399,Ruby Braff,1927,1,United States
559103,835129,Roberto Ottaviano,1957,1,Italy
3344386,1332373,Andy Scott,1966,1,United Kingdom
3770372,1005803,Boom Tic Boom,,,United States
362503,185006,The Charles Lloyd Quartet,,,United States
296976,1658966,Paul Metzke,,1,United States
296986,1135359,Michel Pilz,1945,1,Germany
296988,415714,Hamiet Bluiett,1940,1,United States
526366,528679,Seppo Tyni,1954,1,Finland
854056,871565,Johnathan Blake,1976,1,United States
34858,440724,Hubert Eaves III,,1,United States
460837,698822,Pierre Cullaz,1935,1,France
297009,256318,Ken McIntyre,1931,1,United States
297012,372417,Khan Jamal,1946,1,United States
297015,266539,Andrei Strobert,1949,1,United States
297019,1027111,Steve Lake,1951,1,United Kingdom
297020,202810,Albert Mangelsdorff,1928,1,Germany
297021,347967,Paul Rutherford,1940,1,United Kingdom
2108,21453,Thurston Moore,1958,1,United States
297023,516995,Gerd Dudek,1938,1,Germany
297025,928105,Günter Christmann,1942,1,Germany
460867,381950,Julia Biel,1981,2,United Kingdom
5998662,1676442,Raina Sokolov-Gonzalez,,2,New York
329799,422680,Zbigniew Seifert,1946,1,Poland
297035,384992,Eddie Moore,1940,1,United States
297036,1014682,Ted Daniel,1943,1,United States
297037,356883,Sirone,1940,1,United States
329809,61783,Chicago Underground Duo,,,United States
133206,145958,Batsumi,1972,,Soweto
362586,240785,Boon Gould,1955,1,Isle of Wight
1411164,203727,Joe Diorio,1936,1,United States
886877,990634,Jan Eschke,1976,1,Germany
231518,475923,Chris Walker,,1,United States
2754665,1066798,Petar Ugrin,1944,1,Slovenia
395379,627941,Jacek Olter,1972,1,Poland
231539,552243,Peter Malick,1951,1,United States
133247,482485,Don Hahn,,1,United States
592014,1028422,Glenn Grab,,1,United States
362639,168013,Komeda Quintet,,,Poland
1247380,1447298,Fernando González,1946,1,Chile
2202,11960,El‐P,1975,1,United States
264360,348726,Russ Savakus,1925,1,United States
329898,492659,Mike Zwerin,1930,1,United States
166065,618647,Marcello Giuliani,1967,1,Switzerland
329914,940052,Carlos Averhoff,1947,1,Cuba
329915,256861,Oscar Valdés,1937,1,Cuba
329916,801663,Carlos Emilio Morales,1939,1,Cuba
329917,940051,Jorge Varona,,1,Cuba
329919,940056,Jorge Alfonso,,1,Cuba
329925,381866,Brant Biles,,1,United States
952521,387740,Setrak Sarkissian,1937,1,Lebanon
35022,210445,Herb Alpert,1935,1,United States
1116366,454044,Floratone,2005,,United States
985299,890606,Dave Stapleton,,1,United Kingdom
2265,41610,Roy Ayers,1940,1,United States
2266,11062,George Benson,1943,1,United States
2267,14315,Nuyorican Soul,1996,,United States
